Row,Column,Species,C_E_or_T,Rep,No_germinants_200720,Notes_200720,Notes_thinning_290720,No_germinants_290720
1,1,PLDE,C,1,10,,,10
1,2,VERO,T,1,10,,Swapped with VERO C2,10
1,3,PLDE,T,1,7,,,7
1,4,LARO,T,2,5,,,5
1,5,HYGL,C,3,0,,Swapped with HYGL T2,0
1,6,TROR,C,3,0,,Swapped with TROR T1,0
1,7,POLE,C,2,0,,,0
1,8,LARO,E,1,2,,,2
1,9,TRCY,C,3,0,,Swapped with TRCY T1,0
2,1,VERO,T,2,6,,,6
2,2,PEAI,C,3,5,,,5
2,3,ARCA,E,3,2,,,2
2,4,POLE,E,1,1,May be wrong with ID. Check,POLE!,1
2,5,TROR,T,1,7,,,7
2,6,POLE,T,1,0,,,0
2,7,TROR,C,2,3,,,3
2,8,PLDE,T,2,0,,,0
2,9,TROR,E,3,4,Not sure if done,,4
3,1,HYGL,C,1,0,,,0
3,2,PEAI,C,1,1,,,1
3,3,TRCY,C,2,8,,,8
3,4,HYGL,T,2,2,,,2
3,5,TROR,E,2,4,,Swapped with TROR C2 (no neighbours),4
3,6,LARO,C,2,1,,,1
3,7,PEAI,E,2,1,,,1
3,8,PLDE,E,2,5,,,5
3,9,POLE,E,2,0,,,0
4,1,PLDE,E,3,3,,,3
4,2,PLDE,C,2,11,,,11
4,3,HYGL,T,1,0,,,0
4,4,TRCY,T,1,8,,,8
4,5,TROR,C,1,3,,"Unhealthy, one neighbour. Swapped with TROR E1 9, 3",3
4,6,TRCY,E,1,8,,,8
4,7,TRCY,C,1,3,,,3
4,8,VERO,E,3,1,,,1
4,9,LARO,C,3,3,Is there a 4th? Check - young,,3
5,1,POLE,C,3,0,,,0
5,2,POLE,E,3,0,,,0
5,8,ARCA,C,2,1,,One neighbour. Swapped with ARCA E2,1
5,9,HYGL,E,3,4,,Likely to die,4
6,1,ARCA,T,2,1,,Something woody (plant) removed from plot,1
6,2,VERO,C,3,1,,,1
6,8,LARO,C,1,1,,,1
6,9,TROR,T,2,2,,Swapped with TROR E1,2
7,1,PEAI,T,1,0,,,0
7,2,POLE,C,1,0,,,0
7,8,LARO,E,3,0,,Swapped with LARO T1,0
7,9,POLE,T,2,0,,,0
8,1,PLDE,E,1,1,,,1
8,2,ARCA,E,1,2,,Likely to die,2
8,3,LARO,E,2,2,,,2
8,4,PEAI,T,2,5,,,5
8,6,PLDE,C,3,3,,,3
8,7,VERO,E,2,0,,Swapped with VERO T2,0
8,8,TRCY,T,2,1,,Swapped with TRCY E2,1
8,9,ARCA,T,1,1,,,1
9,1,LARO,T,1,4,,,4
9,2,ARCA,C,1,3,,,3
9,3,TROR,E,1,6,,,6
9,4,ARCA,E,2,2,,,2
9,6,VERO,E,1,0,,"Not at 9, 8",0
9,7,ARCA,C,3,0,,,0
9,8,VERO,C,2,1,,Swapped with VERO E1,1
9,9,HYGL,C,2,7,All very small,0,7
10,1,PEAI,E,1,0,,Swapped with PEAI T2,0
10,2,PEAI,C,2,3,,,3
10,3,VERO,C,1,5,1 of which very dead,,5
10,4,TRCY,E,3,12,,,12
10,6,HYGL,E,1,0,,,0
10,7,PEAI,E,3,0,,,0
10,8,TRCY,E,2,0,,,0
10,9,HYGL,E,2,0,,,0
