Species,Collection_site,Collection_plot,Cover,Treatment,Canopy_cover_outof24
ARCA,A,NA,Shade,NA,17-19
ARCA,B,NA,Sun,NA,0
ARCA,C,NA,Shade,NA,24
ARCA,D,NA,Shade,NA,21-22
ARCA,E,NA,Sun,NA,3
ARCA,F,NA,Sun,NA,0
HYGL,A,NA,Sun,NA,0-4
HYGL,B,NA,Shade,NA,19
HYGL,C,NA,Shade,NA,23
HYGL,D,NA,Sun,NA,4-5
HYGL,E,NA,Sun,NA,0-6
HYGL,F,NA,Middle,NA,11-16
LARO,A,NA,Sun,NA,0-4
LARO,B,NA,Shade,NA,18-21
LARO,C,NA,Sun,NA,3-5
LARO,D,NA,Shade,NA,0-4
LARO,E,NA,Middle,NA,0-4
LARO,F,NA,Shade,NA,0-4
PEAI,A,NA,Shade,NA,23
PEAI,B,NA,Sun,NA,0
PEAI,C,NA,Shade,NA,18-23
PEAI,D,NA,Sun,NA,0
PEAI,E,NA,Shade,NA,23
PEAI,F,NA,Middle,NA,14
PLDE,A,NA,Middle,NA,16
PLDE,B,NA,Sun,NA,8
POLE,A,NA,Sun,NA,5
POLE,B,NA,Sun,NA,7
POLE,C,NA,Middle,NA,15
POLE,D,NA,Sun,NA,2
POLE,E,NA,Shade,NA,19
POLE,F,NA,Shade,NA,21-23
TRCY,A,NA,Sun,NA,0
TRCY,B,NA,Shade,NA,20-23
TRCY,C,NA,Sun,NA,0
TRCY,D,NA,Shade,NA,21
TRCY,E,NA,Sun,NA,2
TRCY,F,NA,Shade,NA,23-24
TROR,A,NA,Sun,NA,0
TROR,B,NA,Shade,NA,19
TROR,C,NA,Sun,NA,2-4
TROR,D,NA,Shade,NA,24
TROR,E,NA,Shade,NA,23
TROR,F,NA,Sun,NA,4-5
VERO,1,A,Shade,Control,
VERO,1,B,Shade,Wet,
VERO,1,C,Shade,Dry,
VERO,2,A,Sun,Dry,
VERO,2,B,Sun,Control,
VERO,2,C,Sun,Wet,
VERO,3,A,Shade,Dry,
VERO,3,C,Shade,Control,
VERO,6,A,Sun,Dry,
VERO,6,B,Sun,Wet,
VERO,6,C,Sun,Control,
VERO,7,A,Sun,Dry,
VERO,7,B,Sun,Wet,
VERO,7,C,Sun,Control,
VERO,8,A,Shade,Dry,
VERO,8,B,Shade,Wet,
VERO,8,C,Shade,Control,
