ID,D13C
CA-1-A1,-28.24251925
CA-2,-28.89574872
CA-3,-30.50447972
CA-4,-27.87825125
CA-5,-28.62115971
CA-6,-28.54203566
CA-7,-31.59837956
CA-8,-30.47009155
CA-9,-31.98129813
CA-10,-30.3783522
CA-11,-29.98847138
CA-12,-29.1099206
CA-13-B1,-28.72341879
CA-14,-27.4
CA-15,-28.21105638
CA-16,-28.5837231
CA-17,-28.9625144
CA-18,-28.169116
CA-19,-31.5358988
CA-20,-30.75089908
CA-21,-28.61153854
CA-22,-30.18531573
CA-23,-30.53946097
CA-24,-28.505294
CA-25-C1,-29.7558441
CA-26,-29.48360334
CA-27,-29.83163492
CA-28,-28.07663253
CA-29,-29.4935703
CA-30,-28.37757371
CA-31,-29.81486566
CA-32,-28.21689395
CA-33,-28.12585401
CA-34,-30.27608475
CA-35,-29.15614083
CA-36,-29.73354249
CA-37-D1,-30.60428511
CA-38,-29.60481532
CA-39,-27.11231432
CA-40,-29.80374662
CA-41,-28.94128715
CA-42,-28.8214944
CA-43,-28.57150375
CA-44,-28.31480923
CA-45,-29.66887738
CA-46,-29.29758312
CA-47,-28.65795417
CA-48,-28.80675943
CA-49-E1,-28.95040377
CA-50,-28.68587765
CA-51,-29.18222853
CA-52,-28.59834067
CA-53,-29.27503307
CA-54,-29.57675869
CA-55,-32.43331094
CA-56,-29.14356299
CA-57,-29.09042337
CA-58,-29.47713422
CA-59,-29.53919629
CA-60,-32.44986834
CA-61,-32.37531107
