Sample,Site,Plot,pH,NH4-N,NO3-N,Al,B,Ca,Cu,Fe,K,Mg,Mn,Na,P,S,Zn
1,1,A,5.83,115.4,57.6,401,5.8,543,1.4,38,219.8,105.4,21.9,143.3,6.6,32.6,0.4
2,1,B,5.67,6.1,14,566,3.8,367,1.2,34.2,177.2,119.5,15.2,89.1,7.8,24.9,0.4
3,1,C,5.72,1.5,2.7,506,3.3,341,1.1,38.1,170.4,121.3,10.1,96.2,6.4,27.6,0.3
4,2,A,5.77,7.2,1,313,2.9,296,1,22.2,106.2,78.9,11.9,73.3,3.9,24.7,0.2
5,2,B,5.79,8,0.5,297,2.7,238,1.2,22.9,91.1,68.4,16.8,77.1,3.8,23.3,0.2
6,2,C,6.05,7.7,2.8,374,2.5,514,1.2,25.3,135.9,87.4,17.2,80.7,4.7,24,0.3
7,3,A,5.12,3.7,1.2,387,2.4,132,0.8,54.3,93.1,33.5,5.7,68.3,5.4,23,0.2
8,3,B,5.01,12.3,3.9,444,2.2,141,0.8,38.6,93.4,39.1,3.2,62.8,5.6,26.2,0.2
9,3,C,4.84,3.3,8.5,352,2.2,221,0.7,44.2,88.7,49.3,11.2,79.8,5.8,28,0.3
10,4,A,5.82,6.6,0.9,351,2.2,198,1,19.4,105.5,53.4,14.6,75.6,4.3,21.5,0.2
11,4,B,6.54,3.8,3.2,367,2.3,635,1.3,28.1,137.8,80,50.9,73.4,5.1,26,0.5
12,4,C,5.77,4.3,1.6,383,2,197,1.1,22.8,110,51,30,63.3,4.8,19,0.3
13,5,A,5.88,1.9,4.6,503,2,418,0.9,42.2,143.6,106.8,19.8,68.7,6.2,23.1,0.3
14,5,B,5.69,9.9,8,650,2.2,668,1.2,46.9,229.6,139,19,98.9,7.7,29.2,0.3
15,5,C,5.51,3,4.7,478,2.3,374,1,31.8,171,106.9,18.5,89.1,5.9,29.8,0.2
16,6,A,6.25,13.3,1,347,2.2,464,1.1,29.9,104.5,96.4,24.7,98,4.6,24.5,0.3
17,6,B,6.03,0.2,2.1,324,2,291,1,21,82.3,86.9,11,102.5,3.8,22.4,0.2
18,6,C,5.66,6.2,2.4,334,1.9,230,0.8,22.3,69.1,74.6,15.7,67,3.9,19.8,0.2
19,7,A,5.48,5.6,5.3,422,1.9,181,0.8,21.3,105.1,56.7,11.3,61.6,4.3,20.6,0.2
20,7,B,5.84,12,4.2,393,2,221,1,20.2,155.5,60.7,4.6,68.2,5.7,20.5,0.3
21,7,C,5.64,2.9,2.8,401,2.1,166,0.7,22.2,129.4,43.6,6.6,67.5,4.4,20.9,0.2
22,8,A,5.3,9.9,24.2,376,2.1,396,0.7,29.9,143.3,79.3,13.2,135.3,5.9,17.6,0.2
23,8,B,5.77,3,7.4,448,2.1,367,1.1,30.2,188.1,101.4,14.4,75.6,5.6,24.2,0.3
24,8,C,5.5,9.8,26,380,2.1,563,0.9,36.9,163.1,123.7,22.1,127.9,6,31.4,0.3
